,delay,description,distance,from,from_lat,from_lon,location,msgNr,reason,segEnd,segStart,start,startDate,stop,stopDate,to,to_lat,to_lon
0,Nan,Bij afrit Rijssen. De op- en afrit is dicht. Van 29 June 2019 21:00 uur tot 30 June 2019 08:00 uur.,Nan,afrit Rijssen,52.28422,6.55788,A1 Apeldoorn richting Hengelo,191545822,De op- en afrit is dicht. Van 29 June 2019 21:00 uur tot 30 June 2019 08:00 uur.,Hengelo,Apeldoorn,2019-06-29T19:00:00,29 June 2019 21:00 uur,2019-06-30T06:00:00,30 June 2019 08:00 uur,afrit Rijssen,52.28422,6.55788
1,Nan,Tussen knp. Azelo en afrit Markelo. Wegwerkzaamheden. Van 29 June 2019 20:00 uur tot 30 June 2019 02:00 uur.,Nan,knp. Azelo,52.31053,6.69853,A1 Hengelo richting Apeldoorn,191333698,Wegwerkzaamheden. Van 29 June 2019 20:00 uur tot 30 June 2019 02:00 uur.,Apeldoorn,Hengelo,2019-06-29T18:00:00,29 June 2019 20:00 uur,2019-06-30T00:00:00,30 June 2019 02:00 uur,afrit Markelo,52.26259,6.45569
2,Nan,Tussen afrit Lochem en Deventer-Oost. Wegwerkzaamheden. Van 10 May 2019 20:00 uur tot 16 July 2019 23:59 uur.,Nan,afrit Lochem,52.24932,6.39788,A1 Hengelo richting Apeldoorn,181169528,Wegwerkzaamheden. Van 10 May 2019 20:00 uur tot 16 July 2019 23:59 uur.,Apeldoorn,Hengelo,2019-05-10T18:00:00,10 May 2019 20:00 uur,2019-07-16T21:59:00,16 July 2019 23:59 uur,Deventer-Oost,52.23694,6.21645
3,Nan,Bij Breukelen. Wegwerkzaamheden. Van 28 June 2019 19:00 uur tot 1 July 2019 05:00 uur.,Nan,Breukelen,52.17215,4.98751,A2 Amsterdam richting Utrecht,190454233,Wegwerkzaamheden. Van 28 June 2019 19:00 uur tot 1 July 2019 05:00 uur.,Utrecht,Amsterdam,2019-06-28T17:00:00,28 June 2019 19:00 uur,2019-07-01T03:00:00,1 July 2019 05:00 uur,Breukelen,52.17215,4.98751
4,Nan,Bij Breukelen. Oprit dicht. Van 28 June 2019 20:00 uur tot 1 July 2019 05:00 uur.,Nan,Breukelen,52.17215,4.98751,A2 Amsterdam richting Utrecht,191071909,Oprit dicht. Van 28 June 2019 20:00 uur tot 1 July 2019 05:00 uur.,Utrecht,Amsterdam,2019-06-28T18:00:00,28 June 2019 20:00 uur,2019-07-01T03:00:00,1 July 2019 05:00 uur,Breukelen,52.17215,4.98751
5,Nan,Bij Breukelen. Afrit dicht. Van 28 June 2019 23:00 uur tot 29 June 2019 23:00 uur.,Nan,Breukelen,52.17215,4.98751,A2 Amsterdam richting Utrecht,191072695,Afrit dicht. Van 28 June 2019 23:00 uur tot 29 June 2019 23:00 uur.,Utrecht,Amsterdam,2019-06-28T21:00:00,28 June 2019 23:00 uur,2019-06-29T21:00:00,29 June 2019 23:00 uur,Breukelen,52.17215,4.98751
6,Nan,Bij Almere-Buiten. Oprit dicht. Van 28 June 2019 20:00 uur tot 1 July 2019 05:00 uur.,Nan,Almere-Buiten,52.3887,5.31816,A6 Lelystad richting Muiden,191073165,Oprit dicht. Van 28 June 2019 20:00 uur tot 1 July 2019 05:00 uur.,Muiden,Lelystad,2019-06-28T18:00:00,28 June 2019 20:00 uur,2019-07-01T03:00:00,1 July 2019 05:00 uur,Almere-Buiten,52.3887,5.31816
7,Nan,Tussen Almere-Buiten-Oost en Almere-Stad. Wegwerkzaamheden. Van 28 June 2019 20:00 uur tot 1 July 2019 05:00 uur.,Nan,Almere-Buiten-Oost,52.39815,5.34324,A6 Lelystad richting Muiden,191335185,Wegwerkzaamheden. Van 28 June 2019 20:00 uur tot 1 July 2019 05:00 uur.,Muiden,Lelystad,2019-06-28T18:00:00,28 June 2019 20:00 uur,2019-07-01T03:00:00,1 July 2019 05:00 uur,Almere-Stad,52.35532,5.25606
8,Nan,Bij Purmerend. Afrit dicht. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Nan,Purmerend,52.5133,4.93428,A7 Zaandam richting Hoorn,191075107,Afrit dicht. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Hoorn,Zaandam,2019-06-28T19:30:00,28 June 2019 21:30 uur,2019-07-01T02:30:00,1 July 2019 04:30 uur,Purmerend,52.5133,4.93428
9,Nan,Bij Purmerend-Zuid. Oprit dicht. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Nan,Purmerend-Zuid,52.50365,4.93133,A7 Zaandam richting Hoorn,191075486,Oprit dicht. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Hoorn,Zaandam,2019-06-28T19:30:00,28 June 2019 21:30 uur,2019-07-01T02:30:00,1 July 2019 04:30 uur,Purmerend-Zuid,52.50365,4.93133
10,Nan,Tussen afrit Wijdewormer en Purmerend. Wegwerkzaamheden. Van 28 June 2019 19:00 uur tot 1 July 2019 04:30 uur.,Nan,afrit Wijdewormer,52.4948,4.89832,A7 Zaandam richting Hoorn,190454607,Wegwerkzaamheden. Van 28 June 2019 19:00 uur tot 1 July 2019 04:30 uur.,Hoorn,Zaandam,2019-06-28T17:00:00,28 June 2019 19:00 uur,2019-07-01T02:30:00,1 July 2019 04:30 uur,Purmerend,52.5133,4.93428
11,Nan,Bij Purmerend-Noord. De afrit is dicht. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Nan,Purmerend-Noord,52.53118,4.94728,A7 Hoorn richting Zaandam,191337159,De afrit is dicht. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Zaandam,Hoorn,2019-06-28T19:30:00,28 June 2019 21:30 uur,2019-07-01T02:30:00,1 July 2019 04:30 uur,Purmerend-Noord,52.53118,4.94728
12,Nan,Tussen Purmerend-Noord en Purmerend. Wegwerkzaamheden. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Nan,Purmerend-Noord,52.53118,4.94728,A7 Hoorn richting Zaandam,191336401,Wegwerkzaamheden. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Zaandam,Hoorn,2019-06-28T19:30:00,28 June 2019 21:30 uur,2019-07-01T02:30:00,1 July 2019 04:30 uur,Purmerend,52.5133,4.93428
13,Nan,Bij Purmerend. De oprit is dicht. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Nan,Purmerend,52.5133,4.93428,A7 Hoorn richting Zaandam,191337891,De oprit is dicht. Van 28 June 2019 21:30 uur tot 1 July 2019 04:30 uur.,Zaandam,Hoorn,2019-06-28T19:30:00,28 June 2019 21:30 uur,2019-07-01T02:30:00,1 July 2019 04:30 uur,Purmerend,52.5133,4.93428
14,Nan,Bij Zegge. De afrit is dicht. Van 17 June 2019 01:00 uur tot 19 July 2019 22:00 uur.,Nan,Zegge,51.54496,4.51332,A58 Breda richting Bergen op Zoom,188854848,De afrit is dicht. Van 17 June 2019 01:00 uur tot 19 July 2019 22:00 uur.,Bergen op Zoom,Breda,2019-06-16T23:00:00,17 June 2019 01:00 uur,2019-07-19T20:00:00,19 July 2019 22:00 uur,Zegge,51.54496,4.51332
15,Nan,Tussen knp. De Baars en knp. Vught. Dicht. Van 28 June 2019 21:00 uur tot 1 July 2019 05:00 uur.,Nan,knp. De Baars,51.55236,5.12498,A65 Tilburg richting 's-Hertogenbosch,186923570,Dicht. Van 28 June 2019 21:00 uur tot 1 July 2019 05:00 uur.,'s-Hertogenbosch,Tilburg,2019-06-28T19:00:00,28 June 2019 21:00 uur,2019-07-01T03:00:00,1 July 2019 05:00 uur,knp. Vught,51.66996,5.3147
16,Nan,Bij Velden. Dicht. Van 28 June 2019 20:30 uur tot 30 June 2019 08:00 uur.,Nan,Velden,51.39587,6.17226,A67 Eindhoven richting Venlo,191072479,Dicht. Van 28 June 2019 20:30 uur tot 30 June 2019 08:00 uur.,Venlo,Eindhoven,2019-06-28T18:30:00,28 June 2019 20:30 uur,2019-06-30T06:00:00,30 June 2019 08:00 uur,Velden,51.39587,6.17226
17,Nan,Tussen knp. Zaarderheiken en knp. Leenderheide. Dicht. Van 28 June 2019 21:00 uur tot 1 July 2019 05:00 uur.,Nan,knp. Zaarderheiken,51.39377,6.12798,A67 Venlo richting Belgische grens,184441595,Dicht. Van 28 June 2019 21:00 uur tot 1 July 2019 05:00 uur.,Belgische grens,Venlo,2019-06-28T19:00:00,28 June 2019 21:00 uur,2019-07-01T03:00:00,1 July 2019 05:00 uur,knp. Leenderheide,51.40499,5.50268
18,Nan,Bij Venlo-West. De oprit is dicht. Van 28 June 2019 21:00 uur tot 1 July 2019 05:00 uur.,Nan,Venlo-West,51.38419,6.12341,A73 Maasbracht richting Nijmegen,191338266,De oprit is dicht. Van 28 June 2019 21:00 uur tot 1 July 2019 05:00 uur.,Nijmegen,Maasbracht,2019-06-28T19:00:00,28 June 2019 21:00 uur,2019-07-01T03:00:00,1 July 2019 05:00 uur,Venlo-West,51.38419,6.12341
19,Nan,Bij Venlo-West. Wegwerkzaamheden. Van 28 June 2019 21:00 uur tot 1 July 2019 05:00 uur.,Nan,Venlo-West,51.38419,6.12341,A73 Maasbracht richting Nijmegen,191338616,Wegwerkzaamheden. Van 28 June 2019 21:00 uur tot 1 July 2019 05:00 uur.,Nijmegen,Maasbracht,2019-06-28T19:00:00,28 June 2019 21:00 uur,2019-07-01T03:00:00,1 July 2019 05:00 uur,Venlo-West,51.38419,6.12341
20,Nan,Bij Eindhoven-Airport. De op- en afrit is dicht. Van 29 June 2019 23:50 uur tot 1 July 2019 06:00 uur.,Nan,Eindhoven-Airport,51.46002,5.40913,N2 Eindhoven - Maastricht,191545771,De op- en afrit is dicht. Van 29 June 2019 23:50 uur tot 1 July 2019 06:00 uur.,Maastricht,Eindhoven,2019-06-29T21:50:00,29 June 2019 23:50 uur,2019-07-01T04:00:00,1 July 2019 06:00 uur,Eindhoven-Airport,51.46002,5.40913
21,Nan,Tussen Drachten en Rottevalle. Dicht. Van 28 June 2019 19:00 uur tot 1 July 2019 05:00 uur.,Nan,Drachten,53.1102,6.12809,N31 Drachten - Leeuwarden,191070514,Dicht. Van 28 June 2019 19:00 uur tot 1 July 2019 05:00 uur.,Leeuwarden,Drachten,2019-06-28T17:00:00,28 June 2019 19:00 uur,2019-07-01T03:00:00,1 July 2019 05:00 uur,Rottevalle,53.13536,6.0859
22,Nan,Tussen Nijverdal en Mariënheem. Dicht. Van 1 June 2019 06:00 uur tot 6 July 2019 06:00 uur.,Nan,Nijverdal,52.36205,6.51219,N35 Almelo - Zwolle,189987647,Dicht. Van 1 June 2019 06:00 uur tot 6 July 2019 06:00 uur.,Zwolle,Almelo,2019-06-01T04:00:00,1 June 2019 06:00 uur,2019-07-06T04:00:00,6 July 2019 06:00 uur,Mariënheem,52.38131,6.32281
23,Nan,Bij de Brouwersdam. Gesloten wegens evenement. Van 29 June 2019 12:00 uur tot 30 June 2019 04:00 uur.,Nan,de Brouwersdam,51.75983,3.85039,N57 Brouwersdam - Rotterdam,191017828a,Gesloten wegens evenement. Van 29 June 2019 12:00 uur tot 30 June 2019 04:00 uur.,Rotterdam,Brouwersdam,2019-06-29T10:00:00,29 June 2019 12:00 uur,2019-06-30T02:00:00,30 June 2019 04:00 uur,de Brouwersdam,51.75983,3.85039
24,Nan,Bij de Brouwersdam. Gesloten wegens evenement. Van 29 June 2019 12:00 uur tot 30 June 2019 04:00 uur.,Nan,de Brouwersdam,51.75983,3.85039,N57 Rotterdam - Brouwersdam,191017828b,Gesloten wegens evenement. Van 29 June 2019 12:00 uur tot 30 June 2019 04:00 uur.,Brouwersdam,Rotterdam,2019-06-29T10:00:00,29 June 2019 12:00 uur,2019-06-30T02:00:00,30 June 2019 04:00 uur,de Brouwersdam,51.75983,3.85039
25,Nan,Bij de Zeelandbrug. Dicht. Van 1 July 2019 00:00 uur tot 2 July 2019 05:00 uur.,Nan,de Zeelandbrug,51.61232,3.89141,N256 Goes - Zierikzee,190437306a,Dicht. Van 1 July 2019 00:00 uur tot 2 July 2019 05:00 uur.,Zierikzee,Goes,2019-06-30T22:00:00,1 July 2019 00:00 uur,2019-07-02T03:00:00,2 July 2019 05:00 uur,de Zeelandbrug,51.61232,3.89141
26,Nan,Bij de Zeelandbrug. Dicht. Van 1 July 2019 00:00 uur tot 2 July 2019 05:00 uur.,Nan,de Zeelandbrug,51.61232,3.89141,N256 Zierikzee - Goes,190437306b,Dicht. Van 1 July 2019 00:00 uur tot 2 July 2019 05:00 uur.,Goes,Zierikzee,2019-06-30T22:00:00,1 July 2019 00:00 uur,2019-07-02T03:00:00,2 July 2019 05:00 uur,de Zeelandbrug,51.61232,3.89141
27,Nan,Bij de Waalbrug bij Nijmegen. Wegwerkzaamheden. Van 22 March 2019 06:00 uur tot 30 September 2020 06:00 uur.,Nan,de Waalbrug bij Nijmegen,51.85127,5.87127,N325 Duitse grens - Nijmegen,172423308a,Wegwerkzaamheden. Van 22 March 2019 06:00 uur tot 30 September 2020 06:00 uur.,Nijmegen,Duitse grens,2019-03-22T05:00:00,22 March 2019 06:00 uur,2020-09-30T04:00:00,30 September 2020 06:00 uur,de Waalbrug bij Nijmegen,51.85127,5.87127
28,Nan,Bij de Waalbrug bij Nijmegen. Wegwerkzaamheden. Van 22 March 2019 06:00 uur tot 30 September 2020 06:00 uur.,Nan,de Waalbrug bij Nijmegen,51.85127,5.87127,N325 Nijmegen - Duitse grens,172423308b,Wegwerkzaamheden. Van 22 March 2019 06:00 uur tot 30 September 2020 06:00 uur.,Duitse grens,Nijmegen,2019-03-22T05:00:00,22 March 2019 06:00 uur,2020-09-30T04:00:00,30 September 2020 06:00 uur,de Waalbrug bij Nijmegen,51.85127,5.87127
