,delay,description,distance,from,from_lat,from_lon,location,msgNr,reason,segEnd,segStart,start,startDate,stop,stopDate,to,to_lat,to_lon
0,600.0,Tussen Nederweert en afrit Budel. ,4100.0,Nederweert,51.2759,5.73637,A2 Maastricht richting Eindhoven,191569032,,Eindhoven,Maastricht,2019-06-29T07:32:30,29 June 2019 09:32 uur,Nan,Nan,afrit Budel,51.29803,5.6271
1,1140.0,Tussen Weert-Noord en knp. Leenderheide. ,11800.0,Weert-Noord,51.2763,5.66674,A2 Maastricht richting Eindhoven,191569030,,Eindhoven,Maastricht,2019-06-29T07:32:30,29 June 2019 09:32 uur,Nan,Nan,knp. Leenderheide,51.40191,5.50359
2,180.0,Tussen Nieuwegein-Zuid en knp. Oudenrijn. ,3100.0,Nieuwegein-Zuid,52.00381,5.0748,A2 's-Hertogenbosch richting Utrecht,191569056,,Utrecht,'s-Hertogenbosch,2019-06-29T10:01:00,29 June 2019 12:01 uur,Nan,Nan,knp. Oudenrijn,52.06562,5.07012
3,360.0,Tussen Vinkeveen en Maarssen. ,6700.0,Vinkeveen,52.22591,4.98426,A2 Amsterdam richting Utrecht,191569025,,Utrecht,Amsterdam,2019-06-29T08:09:00,29 June 2019 10:09 uur,Nan,Nan,Maarssen,52.11816,5.03346
4,420.0,Tussen de Belgische grens en knp. Markiezaat. ,2800.0,de Belgische grens,51.37744,4.30396,A4 Antwerpen richting Rotterdam,191569038,,Rotterdam,Antwerpen,2019-06-29T07:55:30,29 June 2019 09:55 uur,Nan,Nan,knp. Markiezaat,51.43197,4.28125
5,180.0,Tussen Zoeterwoude-Dorp en Hoogmade. ,2800.0,Zoeterwoude-Dorp,52.12969,4.49096,A4 Den Haag richting Amsterdam,191569077,,Amsterdam,Den Haag,2019-06-29T10:06:30,29 June 2019 12:06 uur,Nan,Nan,Hoogmade,52.15781,4.54839
6,Nan,Bij knp. Almere naar de A27 richting Utrecht. Wegwerkzaamheden. Verbindingsweg dicht. Het verkeer wordt geadviseerd een andere route te kiezen,Nan,knp. Almere naar de A27 richting Utrecht,52.3783,5.30289,A6 Lelystad richting Muiden,191556377,Wegwerkzaamheden. Verbindingsweg dicht. Het verkeer wordt geadviseerd een andere route te kiezen,Muiden,Lelystad,Nan,Nan,Nan,Nan,knp. Almere naar de A27 richting Utrecht,52.3783,5.30289
7,900.0,Tussen afrit Zaandijk en Purmerend. twee rijstroken zijn dicht,5600.0,afrit Zaandijk,52.47627,4.85456,A7 Zaandam richting Hoorn,191569026,twee rijstroken zijn dicht,Hoorn,Zaandam,2019-06-29T06:43:30,29 June 2019 08:43 uur,Nan,Nan,Purmerend,52.5133,4.93428
8,660.0,Tussen afrit Avenhorn en Purmerend-Zuid. twee rijstroken zijn dicht,3500.0,afrit Avenhorn,52.62816,5.00587,A7 Hoorn richting Zaandam,191569024,twee rijstroken zijn dicht,Zaandam,Hoorn,2019-06-29T06:23:30,29 June 2019 08:23 uur,Nan,Nan,Purmerend-Zuid,52.50365,4.93133
9,600.0,Tussen de Duitse grens en Zevenaar. ,4600.0,de Duitse grens,51.89869,6.16558,A12 Duitse grens richting Arnhem,191569033,,Arnhem,Duitse grens,2019-06-29T07:19:00,29 June 2019 09:19 uur,Nan,Nan,Zevenaar,51.94224,6.08251
